,Year,School,sum_PER,sum_WS,sum_WS/40,sum_PProd,sum_FT,sum_TS%,sum_PTS
113,2012,Purdue Boilermakers,149.1,9.1,0.88,1186.0,13.3,4.86,70.1
114,2012,Wisconsin Badgers,439.0,11.3,4.97,1087.0,13.1,5.25,64.9
115,2012,Harvard Crimson,153.5,11.5,1.43,868.0,14.7,5.17,63.0
116,2012,Loyola (MD) Greyhounds,142.2,10.7,1.03,1176.0,16.2,4.61,67.7
117,2012,NC State Wolfpack,247.3,8.9,2.16,1116.0,15.0,5.36,72.8
118,2012,Florida State Seminoles,128.8,9.9,1.02,1049.0,12.4,4.74,66.3
119,2012,Gonzaga Bulldogs,156.2,12.4,1.44,1083.0,17.5,5.25,70.2
120,2012,UNC Tar Heels,149.8,12.7,1.28,1196.0,15.9,4.43,80.0
121,2012,Michigan Wolverines,137.5,11.2,1.18,1140.0,11.3,5.67,63.9
122,2012,Kansas Jayhawks,168.3,14.9,1.5,1316.0,14.9,5.31,73.6
123,2012,UNLV Rebels,153.9,8.9,1.18,997.0,13.1,5.09,71.6
124,2012,Georgetown Hoyas,132.5,11.6,1.11,1152.0,14.0,4.73,64.7
125,2012,Vermont Catamounts,161.3,12.7,1.5,1082.0,17.7,5.02,68.4
126,2012,Texas Longhorns,128.0,9.4,0.83,1255.0,18.6,4.58,70.2
127,2012,Vanderbilt Commodores,134.2,10.7,1.02,1114.0,15.4,4.96,70.4
128,2012,LIU-Brooklyn Blackbirds,153.6,12.1,1.15,1498.0,21.2,5.2,84.2
129,2012,Saint Mary's Gaels,167.6,13.1,1.41,1199.0,17.2,5.28,78.0
130,2012,VCU Rams,149.1,13.9,1.39,1196.0,14.3,4.49,67.4
131,2012,Iona Gaels,175.7,16.0,1.58,1442.0,13.4,5.28,81.0
132,2012,Notre Dame Fighting Irish,119.6,11.6,0.84,1142.0,12.2,4.36,63.9
133,2012,Missouri Tigers,122.3,12.9,0.91,1346.0,14.7,4.01,75.1
134,2012,Iowa State Cyclones,141.7,11.8,1.13,1281.0,13.0,4.81,72.1
135,2012,Virginia Cavaliers,119.6,10.2,1.08,949.0,10.3,4.73,63.6
136,2013,Colorado Buffaloes,204.0,10.1,1.84,1125.0,13.5,5.15,66.2
137,2013,Davidson Wildcats,181.3,18.3,1.88,1304.0,17.7,5.36,79.4
138,2013,New Mexico Lobos,139.2,11.5,1.21,1069.0,15.9,4.77,69.7
139,2013,Liberty Flames,134.9,7.9,0.84,1145.0,17.1,4.73,71.6
140,2013,Ole Miss Rebels,144.8,10.9,1.02,1350.0,17.7,4.71,77.3
141,2013,Florida Gators,192.9,18.4,2.05,1253.0,9.0,5.93,74.6
142,2013,Cincinnati Bearcats,115.7,8.5,0.81,1042.0,14.4,4.33,59.8
143,2013,Western Kentucky Hilltoppers,147.8,10.5,1.05,1277.0,15.7,5.05,71.9
144,2013,UCLA Bruins,100.9,10.1,0.84,1272.0,13.7,4.07,72.6
145,2013,Kansas State Wildcats,159.5,11.7,1.2,1221.0,11.3,4.98,69.0
146,2013,Memphis Tigers,174.8,13.8,1.68,1181.0,16.0,5.7,77.6
147,2013,Syracuse Orange,129.4,11.4,0.94,1178.0,14.1,4.3,70.4
148,2013,Duke Blue Devils,171.0,14.3,1.5,1386.0,18.0,5.23,91.7
