,Rk,School,G,W,L,W-L%,SRS,SOS,W_conf,L_conf,W_home,L_home,W_away,L_away,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
46,43,UC-Santa Barbara NCAA,32,18,14,.563,1.22,0.12,8,8,9,4,5,8,2170,2105,1295,742,1636,.454,227,611,.372,459,610,.752,277,1038,457,233,133,456,611,65.2,102.9,.373,.373,.563,49.6,61.6,11.0,12.2,.523,19.1,28.4,.281,2011
59,56,Cincinnati NCAA,35,26,9,.743,15.41,6.10,11,7,15,3,7,4,2412,2086,1405,848,1939,.437,220,651,.338,496,742,.668,454,1237,497,258,129,401,605,63.6,107.9,.383,.336,.526,53.2,58.6,11.5,10.2,.494,14.9,38.1,.256,2011
61,58,Clemson NCAA,34,22,12,.647,13.76,6.58,9,7,15,2,3,7,2330,2086,1370,810,1827,.443,217,630,.344,493,703,.701,384,1177,445,272,161,449,624,65.1,104.5,.385,.345,.539,51.2,54.9,12.2,13.2,.503,17.2,34.2,.270,2011
71,66,Connecticut NCAA,41,32,9,.780,17.95,10.44,9,9,13,4,5,5,2967,2659,1670,1053,2429,.434,234,711,.329,627,822,.763,570,1626,534,259,228,466,646,65.1,109.2,.338,.293,.526,52.9,50.7,9.5,13.6,.482,14.2,38.7,.258,2011
85,80,Duke NCAA,37,32,5,.865,24.51,8.32,13,3,17,0,6,4,2993,2394,1480,1040,2206,.471,291,778,.374,622,826,.753,446,1399,529,269,162,447,657,70.2,115.2,.374,.353,.576,51.9,50.9,10.4,9.7,.537,14.7,35.1,.282,2011
103,96,Florida State NCAA,34,23,11,.676,13.48,6.45,11,5,12,3,8,5,2348,2109,1365,827,1903,.435,212,634,.334,482,725,.665,422,1332,423,288,203,541,651,69.3,99.3,.381,.333,.522,53.3,51.1,12.2,17.5,.490,19.4,35.6,.253,2011
104,97,Florida NCAA,37,29,8,.784,16.27,7.57,13,3,14,3,8,2,2667,2345,1515,968,2083,.465,233,661,.352,498,744,.669,467,1384,521,221,131,452,545,63.9,110.3,.357,.317,.547,54.0,53.8,9.1,9.5,.521,15.6,37.2,.239,2011
111,102,George Mason NCAA,34,27,7,.794,11.66,1.37,16,2,14,0,10,3,2474,2124,1375,876,1861,.471,227,574,.395,495,718,.689,364,1188,483,224,110,376,581,64.3,111.9,.386,.308,.562,51.5,55.1,10.1,8.9,.532,14.6,32.9,.266,2011
113,104,Georgetown NCAA,32,21,11,.656,14.61,10.39,10,8,10,4,7,5,2258,2123,1285,809,1703,.475,223,631,.353,417,568,.734,324,1081,481,193,139,433,603,64.8,108.5,.334,.371,.572,52.0,59.5,9.3,11.2,.541,18.0,33.7,.245,2011
117,108,Georgia NCAA,33,21,12,.636,10.43,6.13,9,7,12,4,7,4,2267,2125,1350,823,1822,.452,156,456,.342,465,667,.697,407,1243,495,211,162,444,541,64.6,104.0,.366,.250,.530,53.4,60.1,9.7,12.8,.495,17.2,36.8,.255,2011
118,109,Gonzaga NCAA,35,25,10,.714,13.86,4.01,11,3,14,2,6,4,2684,2307,1410,932,1947,.479,203,548,.370,617,810,.762,398,1314,542,254,132,474,649,68.4,111.3,.416,.281,.576,54.8,58.2,10.5,10.5,.531,16.9,35.4,.317,2011
121,112,Hampton NCAA,33,24,9,.727,-5.20,-8.77,11,5,8,3,8,5,2197,2070,1340,746,1843,.405,213,658,.324,492,759,.648,367,1170,387,241,185,412,604,67.3,97.5,.412,.357,.499,47.0,51.9,10.7,14.2,.463,15.8,29.7,.267,2011
137,126,Illinois NCAA,34,20,14,.588,16.72,11.11,9,9,14,2,3,7,2413,2222,1365,894,1910,.468,232,600,.387,393,539,.729,342,1178,568,188,152,434,597,66.2,106.8,.282,.314,.557,51.2,63.5,8.3,12.1,.529,16.7,31.7,.206,2011
