,Rk,School,G,W,L,W-L%,SRS,SOS,W_conf,L_conf,W_home,L_home,W_away,L_away,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
104,97,Florida NCAA,39,36,3,.923,20.69,8.54,18,0,17,0,10,2,2727,2253,1560,945,2056,.460,255,711,.359,582,871,.668,437,1385,509,274,118,418,611,62.9,111.1,.424,.346,.552,53.8,53.9,11.2,8.6,.522,14.5,34.7,.283,2014
112,103,George Washington NCAA,33,24,9,.727,10.60,4.42,11,5,14,1,6,5,2415,2211,1324,839,1812,.463,187,514,.364,550,845,.651,394,1229,461,235,135,428,595,68.0,107.3,.466,.284,.546,52.5,54.9,10.4,11.2,.515,16.2,35.1,.304,2014
118,109,Gonzaga NCAA,36,29,7,.806,15.56,5.36,15,3,15,0,8,4,2761,2372,1421,972,1963,.495,255,643,.397,562,793,.709,343,1291,525,235,142,419,659,68.1,114.1,.404,.328,.590,52.3,54.0,9.7,10.2,.560,15.2,30.6,.286,2014
124,115,Harvard NCAA,32,27,5,.844,10.79,-0.47,13,1,11,1,11,3,2343,1952,1300,786,1691,.465,184,478,.385,587,811,.724,335,1092,449,243,155,365,566,64.6,111.6,.480,.283,.564,52.1,57.1,11.6,13.4,.519,15.0,32.8,.347,2014
143,132,Iowa State NCAA,36,28,8,.778,18.52,9.88,11,7,15,1,4,6,2989,2678,1465,1062,2239,.474,301,840,.358,564,814,.693,375,1387,663,214,106,380,623,71.7,113.9,.364,.375,.569,51.1,62.4,8.2,7.0,.542,12.6,28.8,.252,2014
144,133,Iowa NCAA,33,20,13,.606,18.58,7.43,9,9,13,4,4,6,2689,2321,1339,919,1984,.463,191,546,.350,660,898,.735,447,1332,532,234,164,371,603,69.9,115.0,.453,.275,.558,54.7,57.9,10.0,13.5,.511,13.3,37.7,.333,2014
151,140,Kansas State NCAA,33,20,13,.606,12.14,8.47,10,8,15,2,2,7,2280,2159,1335,798,1840,.434,198,598,.331,486,741,.656,406,1180,503,205,98,404,714,65.6,104.2,.403,.325,.520,50.7,63.0,9.4,8.0,.488,15.6,34.7,.264,2014
154,141,Kansas NCAA,35,25,10,.714,20.25,11.40,14,4,14,1,5,6,2764,2454,1410,955,1937,.493,189,556,.340,665,935,.711,416,1336,523,204,196,463,732,68.6,114.3,.483,.287,.580,55.5,54.8,8.4,14.6,.542,16.3,37.3,.343,2014
157,144,Kentucky NCAA,40,29,11,.725,18.07,9.90,12,6,16,2,5,5,2992,2665,1615,1004,2213,.454,203,611,.332,781,1146,.682,562,1607,446,189,236,469,732,65.9,112.4,.518,.276,.543,56.6,44.4,7.1,14.9,.500,14.5,41.4,.353,2014
167,154,Louisiana NCAA,35,23,12,.657,2.91,-0.28,11,7,13,2,6,9,2835,2633,1430,988,2127,.465,246,670,.367,613,913,.671,464,1329,472,250,144,459,734,71.2,111.4,.429,.315,.554,52.3,47.8,9.8,10.2,.522,15.2,36.3,.288,2014
171,158,Louisville NCAA,37,31,6,.838,24.69,4.80,15,3,16,2,9,2,2998,2262,1480,1051,2232,.471,288,783,.368,608,920,.661,503,1396,568,370,173,391,723,69.0,117.4,.412,.351,.562,52.1,54.0,14.5,12.5,.535,12.8,37.1,.272,2014
178,163,Manhattan NCAA,33,25,8,.758,6.04,-0.90,15,5,9,3,12,4,2540,2311,1350,828,1837,.451,208,564,.369,676,1019,.663,415,1234,433,273,200,468,799,70.3,107.1,.555,.307,.547,50.7,52.3,11.5,15.3,.507,16.8,34.4,.368,2014
186,171,Massachusetts NCAA,33,24,9,.727,10.61,6.00,10,6,11,2,7,4,2502,2350,1325,900,1962,.459,177,512,.346,525,769,.683,404,1267,499,226,178,446,649,71.7,105.3,.392,.261,.538,51.9,55.4,9.5,12.3,.504,16.1,34.4,.268,2014
188,173,Memphis NCAA,34,24,10,.706,13.02,7.14,12,6,15,2,5,5,2614,2397,1370,958,2009,.477,182,552,.330,516,801,.644,427,1268,591,294,159,449,612,70.6,108.2,.399,.275,.547,51.5,61.7,12.2,11.0,.522,15.8,35.6,.257,2014
189,174,Mercer NCAA,36,27,9,.750,5.33,-3.42,14,4,17,1,9,7,2836,2410,1492,982,2061,.476,290,756,.384,582,791,.736,407,1338,586,211,147,420,665,65.7,115.8,.384,.367,.582,52.9,59.7,8.6,11.8,.547,14.7,34.0,.282,2014
192,177,Michigan State NCAA,38,29,9,.763,19.35,9.38,12,6,12,4,7,3,2870,2491,1535,1024,2159,.474,307,783,.392,515,728,.707,395,1400,637,259,174,430,721,66.0,113.3,.337,.363,.573,53.7,62.2,10.2,13.4,.545,14.7,32.2,.239,2014
193,178,Michigan NCAA,37,28,9,.757,18.52,9.65,15,3,13,2,7,4,2736,2408,1490,945,1982,.477,319,794,.402,527,691,.763,316,1160,525,191,88,336,527,62.5,117.5,.349,.401,.592,50.1,55.6,8.2,6.3,.557,12.7,28.6,.266,2014
195,180,Milwaukee NCAA,35,21,14,.600,-1.53,-0.44,7,9,7,6,10,6,2465,2469,1415,808,1888,.428,245,754,.325,604,823,.734,343,1182,476,200,85,469,630,67.9,102.6,.436,.399,.541,48.8,58.9,8.3,6.4,.493,17.1,28.3,.320,2014
210,193,Mount St. Mary's NCAA,33,16,17,.485,-6.32,-4.44,9,7,10,3,6,13,2504,2566,1330,843,1923,.438,296,834,.355,522,706,.739,328,1053,389,232,99,388,616,70.0,107.5,.367,.434,.554,46.6,46.1,10.0,6.7,.515,14.7,27.8,.271,2014
214,197,Nebraska NCAA,32,19,13,.594,10.13,8.50,11,7,15,1,3,8,2137,2085,1280,719,1684,.427,188,564,.333,511,713,.717,278,1059,304,222,99,349,660,65.4,102.2,.423,.335,.528,48.6,42.3,10.6,9.3,.483,14.7,25.7,.303,2014
220,201,New Mexico State NCAA,36,26,10,.722,6.16,-2.58,12,4,14,1,8,7,2771,2415,1455,936,1918,.488,194,523,.371,705,1027,.686,428,1346,474,169,224,457,614,66.9,113.8,.535,.273,.576,53.5,50.6,6.9,13.5,.539,16.0,37.5,.368,2014
221,202,New Mexico NCAA,34,27,7,.794,12.72,4.84,15,3,13,2,8,2,2516,2248,1380,847,1851,.458,197,593,.332,625,863,.724,360,1296,522,162,172,361,577,65.6,111.2,.466,.320,.556,53.8,61.6,7.2,13.3,.511,13.8,32.5,.338,2014
229,210,North Carolina Central NCAA,34,28,6,.824,3.97,-8.03,16,1,14,0,11,5,2513,2023,1380,847,1832,.462,184,545,.338,635,872,.728,403,1197,500,262,137,389,660,64.7,112.5,.476,.297,.559,52.6,59.0,11.7,12.4,.513,14.8,36.6,.347,2014
231,212,North Carolina State NCAA,36,22,14,.611,9.02,7.44,9,9,13,6,6,6,2561,2504,1460,950,2060,.461,160,525,.305,501,762,.657,422,1239,466,173,149,375,670,64.9,108.1,.370,.255,.529,49.5,49.1,7.3,10.8,.500,13.4,34.2,.243,2014
233,214,North Carolina NCAA,34,24,10,.706,15.24,8.42,13,5,15,3,6,5,2604,2372,1370,953,2057,.463,146,434,.336,552,882,.626,483,1350,523,249,161,406,690,70.0,108.5,.429,.211,.526,53.4,54.9,10.4,12.5,.499,14.1,38.1,.268,2014
234,215,North Dakota State NCAA,33,26,7,.788,6.31,-0.02,12,2,12,1,10,5,2492,2164,1325,888,1759,.505,176,483,.364,540,719,.751,307,1081,382,206,145,325,588,63.9,117.7,.409,.275,.593,53.2,43.0,9.7,13.1,.555,13.4,31.7,.307,2014
250,229,Ohio State NCAA,35,25,10,.714,17.84,8.12,10,8,17,3,5,5,2432,2092,1410,843,1875,.450,200,617,.324,546,793,.689,346,1187,421,270,157,394,577,65.1,106.1,.423,.329,.540,50.2,49.9,11.8,12.2,.503,14.9,29.6,.291,2014
252,231,Oklahoma State NCAA,34,21,13,.618,19.02,8.34,8,10,13,3,3,7,2728,2365,1391,898,1941,.463,239,656,.364,693,964,.719,332,1203,463,260,160,356,680,69.5,112.8,.497,.338,.569,48.8,51.6,10.8,12.2,.524,12.9,28.0,.357,2014
253,232,Oklahoma NCAA,33,23,10,.697,14.91,8.97,12,6,14,3,5,4,2704,2508,1335,909,2034,.447,285,752,.379,601,802,.749,398,1242,483,224,108,376,625,71.7,112.9,.394,.370,.560,50.9,53.1,9.4,8.4,.517,13.5,32.4,.295,2014
257,236,Oregon NCAA,34,24,10,.706,15.75,8.05,10,8,15,3,5,5,2783,2521,1385,928,1977,.469,259,666,.389,668,865,.772,356,1159,492,263,113,389,725,69.9,115.0,.438,.337,.583,50.7,53.0,10.9,8.7,.535,14.0,32.2,.338,2014
264,241,Pittsburgh NCAA,36,26,10,.722,17.46,7.54,11,7,13,5,7,2,2586,2229,1466,895,1944,.460,183,522,.351,613,861,.712,432,1291,563,254,107,373,620,62.4,113.0,.443,.269,.550,54.5,62.9,11.1,8.6,.507,13.7,37.3,.315,2014
270,247,Providence NCAA,35,23,12,.657,11.37,7.85,10,8,13,3,5,6,2566,2443,1450,849,1984,.428,218,628,.347,650,831,.782,432,1278,476,194,173,406,603,64.9,109.1,.419,.317,.539,52.4,56.1,8.3,12.0,.483,14.6,35.4,.328,2014
283,260,Saint Joseph's NCAA,34,24,10,.706,9.05,5.08,11,5,11,4,8,4,2433,2298,1365,840,1789,.470,250,660,.379,503,780,.645,319,1218,476,151,154,409,544,66.0,108.1,.436,.369,.563,52.0,56.7,6.7,11.9,.539,15.9,29.0,.281,2014
286,261,Saint Louis NCAA,34,27,7,.794,11.63,4.24,13,3,14,3,11,1,2374,2105,1375,829,1869,.444,190,601,.316,526,755,.697,345,1231,482,253,138,431,597,67.4,102.4,.404,.322,.533,51.0,58.1,10.9,9.9,.494,16.2,29.4,.281,2014
291,266,San Diego State NCAA,36,31,5,.861,14.95,4.86,16,2,15,1,9,2,2530,2052,1450,873,2009,.435,186,519,.358,598,902,.663,470,1364,356,274,183,355,600,63.9,109.2,.449,.258,.519,53.6,40.8,11.8,14.1,.481,12.7,36.7,.298,2014
321,294,Stanford NCAA,36,23,13,.639,13.42,9.00,10,8,12,4,6,5,2616,2457,1445,896,1950,.459,208,571,.364,616,877,.702,347,1257,415,191,154,409,655,67.1,108.0,.450,.293,.553,51.3,46.3,7.9,11.6,.513,14.7,29.3,.316,2014
322,295,Stephen F. Austin NCAA,35,32,3,.914,4.82,-6.76,18,0,15,0,14,2,2661,2219,1410,922,1992,.463,248,718,.345,569,800,.711,451,1186,574,257,104,393,730,65.5,115.2,.402,.360,.561,53.8,62.3,11.1,8.6,.525,14.2,38.4,.286,2014
325,298,Syracuse NCAA,34,28,6,.824,16.05,7.25,14,4,16,2,8,2,2311,2012,1370,819,1873,.437,167,505,.331,506,715,.708,446,1200,402,271,171,306,546,60.5,111.6,.382,.270,.522,52.8,49.1,13.1,17.2,.482,12.1,38.1,.270,2014
332,303,Tennessee NCAA,37,24,13,.649,17.34,7.84,11,7,14,3,4,7,2672,2283,1490,927,2048,.453,205,631,.325,613,852,.719,501,1424,472,192,172,388,617,62.8,114.2,.416,.308,.545,56.2,50.9,8.2,12.0,.503,13.7,39.8,.299,2014
340,311,Texas Southern NCAA,34,19,15,.559,-8.41,-10.07,12,6,9,2,6,11,2584,2512,1380,857,1854,.462,217,603,.360,653,910,.718,386,1246,476,155,124,454,561,68.2,109.8,.491,.325,.565,52.2,55.5,6.6,8.5,.521,16.6,33.8,.352,2014
343,314,Texas NCAA,35,24,11,.686,12.67,9.15,11,7,16,2,4,6,2598,2475,1405,905,2095,.432,178,545,.327,610,909,.671,528,1449,452,199,206,426,669,69.1,107.0,.434,.260,.514,54.6,49.9,8.2,15.8,.474,14.4,39.6,.291,2014
348,319,Tulsa NCAA,34,21,13,.618,6.23,1.17,13,3,11,3,6,7,2471,2299,1370,835,1899,.440,197,603,.327,604,894,.676,368,1231,427,232,127,394,725,68.7,105.0,.471,.318,.532,50.3,51.1,9.9,10.5,.492,14.5,30.2,.318,2014
349,320,UCLA NCAA,37,28,9,.757,18.40,7.62,12,6,16,2,5,5,3003,2604,1490,1073,2196,.489,229,603,.380,628,839,.749,368,1308,636,341,111,379,652,70.0,115.1,.382,.275,.579,51.2,59.3,13.1,9.0,.541,12.7,29.8,.286,2014
358,327,Villanova NCAA,34,29,5,.853,18.97,7.50,16,2,15,1,10,2,2651,2261,1385,870,1907,.456,304,855,.356,607,848,.716,379,1263,523,236,141,406,672,67.6,113.2,.445,.448,.574,52.6,60.1,10.1,11.2,.536,14.9,32.6,.318,2014
359,328,Virginia Commonwealth NCAA,35,26,9,.743,14.55,4.78,12,4,15,0,6,5,2624,2282,1420,922,2196,.420,260,744,.349,520,772,.674,479,1317,459,391,150,423,686,70.4,105.0,.352,.339,.512,50.6,49.8,15.6,11.5,.479,14.2,34.3,.237,2014
362,331,Virginia NCAA,37,30,7,.811,18.38,7.86,16,2,15,2,7,4,2449,2060,1486,855,1884,.454,206,559,.369,533,792,.673,379,1312,484,193,150,362,594,60.6,108.8,.420,.297,.542,54.7,56.6,8.6,12.0,.508,13.8,33.2,.283,2014
367,336,Weber State NCAA,31,19,12,.613,-0.92,-4.23,14,6,13,2,5,9,2254,2061,1260,732,1541,.475,222,566,.392,568,767,.741,265,1065,407,131,123,382,558,64.3,111.3,.498,.367,.592,52.5,55.6,6.5,9.0,.547,16.7,28.9,.369,2014
374,341,Western Michigan NCAA,33,23,10,.697,1.73,-1.45,14,4,13,2,6,7,2373,2235,1340,779,1684,.463,195,593,.329,620,856,.724,323,1143,376,194,111,464,602,66.5,106.5,.508,.352,.568,51.3,48.3,8.7,9.6,.520,18.2,31.6,.368,2014
375,342,Wichita State NCAA,36,35,1,.972,16.65,1.74,18,0,17,0,12,0,2706,2141,1445,896,1942,.461,250,713,.351,664,916,.725,419,1381,491,247,184,374,611,64.5,116.1,.472,.367,.569,55.3,54.8,10.6,15.0,.526,13.6,35.1,.342,2014
378,345,Wisconsin NCAA,38,30,8,.789,19.69,10.19,12,6,14,3,8,3,2793,2432,1525,927,2019,.459,297,790,.376,642,861,.746,337,1266,468,183,127,307,574,63.3,115.7,.426,.391,.575,51.1,50.5,7.6,8.0,.533,11.2,28.1,.318,2014
379,346,Wofford NCAA,33,20,13,.606,-4.32,-5.95,11,5,9,4,8,8,2205,2054,1325,808,1804,.448,196,544,.360,393,592,.664,352,1090,423,205,54,351,578,63.0,105.6,.328,.302,.529,51.0,52.4,9.8,4.6,.502,14.4,31.7,.218,2014
382,349,Xavier NCAA,34,21,13,.618,11.84,8.14,10,8,15,2,4,6,2442,2316,1370,869,1850,.470,174,500,.348,530,770,.688,379,1213,497,196,97,421,674,65.7,108.5,.416,.270,.551,53.2,57.2,8.7,8.2,.517,16.0,34.1,.286,2014
4,5,Alabama-Birmingham NCAA,36,20,16,.556,1.94,1.62,12,6,13,4,3,8,2476,2452,1480,873,2042,.428,202,607,.333,528,715,.738,434,1322,516,237,184,482,630,65.9,101.5,.350,.297,.520,51.0,59.1,9.7,13.0,.477,16.8,34.2,.259,2015
7,8,Albany (NY) NCAA,33,24,9,.727,-0.34,-5.18,15,1,12,3,12,5,2156,1996,1325,729,1666,.438,205,572,.358,493,650,.758,334,1111,349,187,53,381,544,61.2,106.4,.390,.343,.546,53.5,47.9,9.2,5.5,.499,16.2,32.6,.296,2015
12,13,Arizona NCAA,38,34,4,.895,24.33,7.41,16,2,17,0,8,3,2911,2268,1525,1009,2068,.488,193,536,.360,700,974,.719,411,1399,528,275,131,419,681,66.5,114.7,.471,.259,.575,56.8,52.3,10.8,9.8,.535,14.2,34.5,.338,2015
16,17,Arkansas NCAA,36,27,9,.750,14.07,6.79,13,5,17,2,7,5,2787,2525,1450,978,2196,.445,238,681,.349,593,819,.724,470,1290,579,277,168,430,684,70.1,109.6,.373,.310,.539,50.2,59.2,10.9,12.0,.500,14.3,35.7,.270,2015
23,22,Baylor NCAA,34,24,10,.706,17.85,9.33,11,7,16,2,6,5,2349,2048,1370,813,1874,.434,236,626,.377,487,723,.674,497,1333,497,263,132,434,565,62.8,109.2,.386,.334,.530,55.9,61.1,12.2,11.2,.497,16.4,42.4,.260,2015
24,23,Belmont NCAA,33,22,11,.667,0.35,-2.77,11,5,12,2,7,8,2450,2330,1320,858,1803,.476,329,866,.380,405,585,.692,307,1093,504,209,66,451,549,67.5,109.9,.324,.480,.589,50.3,58.7,9.4,5.5,.567,17.8,29.0,.225,2015
27,26,Boise State NCAA,34,25,9,.735,10.01,1.38,14,4,13,1,8,5,2390,2045,1385,831,1823,.456,297,758,.392,431,591,.729,298,1119,409,206,79,348,582,62.4,110.5,.324,.416,.568,52.1,49.2,9.5,7.0,.537,14.2,28.4,.236,2015
32,31,Brigham Young NCAA,35,25,10,.714,13.53,5.02,13,5,13,3,8,3,2931,2561,1420,976,2090,.467,300,763,.393,679,886,.766,421,1349,594,257,103,417,721,70.7,116.7,.424,.365,.584,53.2,60.9,10.2,7.4,.539,14.2,34.1,.325,2015
36,35,Buffalo NCAA,33,23,10,.697,7.93,1.60,12,6,11,2,9,7,2462,2253,1320,837,1922,.435,199,583,.341,589,819,.719,420,1260,433,248,132,378,613,68.7,108.5,.426,.303,.533,52.0,51.7,10.9,11.3,.487,14.1,34.5,.306,2015
37,36,Butler NCAA,34,23,11,.676,16.64,8.62,12,6,13,3,7,4,2346,2073,1380,814,1882,.433,192,540,.356,526,767,.686,408,1239,387,217,103,376,592,64.2,105.9,.408,.287,.522,54.2,47.5,9.8,8.8,.484,14.3,34.7,.279,2015
45,42,UC-Irvine NCAA,34,21,13,.618,3.63,0.45,11,5,10,3,6,9,2295,2113,1370,854,1851,.461,217,558,.389,370,541,.684,329,1198,480,194,168,396,578,63.7,105.2,.292,.301,.544,51.2,56.2,8.9,12.6,.520,15.8,30.2,.200,2015
59,56,Cincinnati NCAA,34,23,11,.676,10.72,4.40,13,5,15,3,6,5,2113,1898,1380,761,1705,.446,167,507,.329,424,633,.670,383,1178,394,222,185,432,507,59.6,102.8,.371,.297,.527,53.5,51.8,10.8,15.4,.495,17.7,37.3,.249,2015
63,60,Coastal Carolina NCAA,34,24,10,.706,-1.02,-6.18,12,6,14,2,8,7,2438,2121,1360,836,1899,.440,228,633,.360,538,780,.690,447,1338,385,240,111,399,559,65.2,110.0,.411,.333,.537,55.7,46.1,10.8,10.2,.500,15.0,37.5,.283,2015
76,71,Davidson NCAA,32,24,8,.750,11.97,3.19,14,4,14,1,9,4,2529,2221,1285,898,1924,.467,343,877,.391,390,553,.705,335,1144,547,171,93,303,601,67.2,117.1,.287,.456,.578,50.3,60.9,7.9,7.5,.556,12.2,30.0,.203,2015
77,72,Dayton NCAA,36,27,9,.750,10.98,4.06,13,5,16,0,5,6,2439,2190,1445,810,1755,.462,239,670,.357,580,846,.686,255,1121,490,250,91,415,573,64.2,105.1,.482,.382,.565,48.6,60.5,10.8,7.2,.530,16.1,23.3,.330,2015
85,80,Duke NCAA,39,35,4,.897,24.97,9.87,15,3,15,1,9,2,3091,2502,1570,1099,2191,.502,283,732,.387,610,873,.699,445,1436,588,278,149,421,607,65.9,119.4,.398,.334,.593,53.9,53.5,10.7,9.0,.566,13.9,35.8,.278,2015
94,87,Eastern Washington NCAA,35,26,9,.743,0.79,-3.84,14,4,13,2,11,6,2820,2588,1410,977,2045,.478,344,860,.400,522,719,.726,351,1183,454,219,167,376,624,68.3,117.1,.352,.421,.591,50.0,46.5,9.1,13.0,.562,13.6,29.9,.255,2015
113,104,Georgetown NCAA,33,22,11,.667,15.48,9.81,12,6,13,3,5,4,2340,2153,1340,799,1753,.456,201,569,.353,541,769,.704,367,1152,427,251,156,415,668,64.6,108.1,.439,.325,.552,52.2,53.4,11.6,14.1,.513,16.4,34.3,.309,2015
115,106,Georgia State NCAA,35,25,10,.714,5.47,-2.03,15,5,12,1,8,8,2499,2184,1415,902,1878,.480,174,522,.333,521,719,.725,322,1116,479,321,143,366,642,64.3,109.8,.383,.278,.563,48.9,53.1,14.1,13.5,.527,14.2,30.0,.277,2015
117,108,Georgia NCAA,33,21,12,.636,12.42,8.60,11,7,12,4,8,4,2250,2124,1351,747,1730,.432,184,538,.342,572,826,.692,360,1260,411,183,151,420,608,64.8,102.8,.477,.311,.530,53.0,55.0,8.4,12.4,.485,16.5,32.2,.331,2015
118,109,Gonzaga NCAA,38,35,3,.921,21.12,5.12,17,1,15,1,10,1,2989,2343,1525,1084,2083,.520,264,660,.400,557,806,.691,391,1441,620,226,126,397,637,65.2,120.3,.387,.317,.606,55.5,57.2,9.1,8.4,.584,13.9,34.1,.267,2015
122,113,Hampton NCAA,35,17,18,.486,-8.25,-7.08,8,8,6,5,5,12,2346,2387,1405,796,1959,.406,194,638,.304,560,859,.652,416,1292,372,235,141,494,752,69.5,96.1,.438,.326,.496,50.1,46.7,9.6,10.5,.456,17.3,31.8,.286,2015
124,115,Harvard NCAA,30,22,8,.733,4.47,-0.25,12,3,12,2,9,4,1926,1727,1220,671,1548,.433,146,412,.354,438,609,.719,316,1025,384,213,135,349,472,61.2,103.2,.393,.266,.524,52.5,57.2,11.4,13.1,.481,16.0,32.7,.283,2015
141,130,Indiana NCAA,34,20,14,.588,12.94,7.20,9,9,15,4,3,6,2633,2438,1365,923,1989,.464,319,786,.406,468,651,.719,407,1224,473,170,108,392,606,66.9,115.3,.327,.395,.573,52.2,51.2,7.4,7.8,.544,14.6,35.2,.235,2015
143,132,Iowa State NCAA,34,25,9,.735,17.94,9.15,12,6,15,1,6,5,2645,2346,1360,940,1973,.476,263,726,.362,502,721,.696,323,1221,546,218,133,375,527,69.8,111.4,.365,.368,.571,50.5,58.1,9.2,9.7,.543,13.9,28.3,.254,2015
144,133,Iowa NCAA,34,22,12,.647,15.83,8.39,12,6,14,4,7,4,2372,2119,1370,821,1905,.431,192,576,.333,538,723,.744,422,1274,482,218,158,377,536,64.5,107.4,.380,.302,.527,52.9,58.7,9.9,13.1,.481,14.4,35.6,.282,2015
154,141,Kansas NCAA,36,27,9,.750,18.47,12.13,13,5,15,0,5,5,2561,2333,1445,869,1976,.440,213,562,.379,610,842,.724,426,1364,475,237,175,463,639,66.7,106.3,.426,.284,.539,52.6,54.7,9.8,12.3,.494,16.3,34.9,.309,2015
157,144,Kentucky NCAA,39,38,1,.974,28.72,8.67,18,0,19,0,10,0,2900,2118,1575,1006,2150,.468,203,582,.349,685,943,.726,491,1482,553,253,268,408,665,63.8,115.5,.439,.271,.558,54.9,55.0,10.1,18.2,.515,13.6,39.5,.319,2015
159,146,Lafayette NCAA,33,20,13,.606,-3.37,-3.12,9,9,11,5,9,7,2426,2409,1325,872,1799,.485,261,640,.408,421,549,.767,282,1017,514,181,83,366,515,64.8,112.9,.305,.356,.589,48.3,58.9,8.4,6.9,.557,15.1,28.4,.234,2015
169,156,Louisiana State NCAA,33,22,11,.667,11.39,5.63,11,7,13,4,8,3,2423,2233,1350,892,1962,.455,189,558,.339,450,658,.684,401,1294,516,240,204,476,516,69.6,103.1,.335,.284,.533,51.5,57.8,10.2,14.0,.503,17.3,33.9,.229,2015
171,158,Louisville NCAA,36,27,9,.750,18.12,8.98,12,6,15,4,7,3,2483,2154,1450,878,2048,.429,198,644,.307,529,792,.668,454,1351,419,283,192,408,623,65.6,104.5,.387,.314,.512,51.8,47.7,11.9,14.4,.477,14.4,34.7,.258,2015
178,163,Manhattan NCAA,33,19,14,.576,-1.34,-3.34,13,7,9,2,5,9,2300,2234,1340,756,1748,.432,215,640,.336,573,829,.691,345,1065,460,264,92,481,758,68.2,100.7,.474,.366,.537,48.6,60.8,11.6,7.5,.494,18.3,30.9,.328,2015
184,169,Maryland NCAA,35,28,7,.800,13.32,7.63,14,4,18,1,6,4,2417,2218,1410,781,1777,.440,258,687,.376,597,790,.756,314,1223,376,169,151,431,584,64.7,106.1,.445,.387,.562,51.1,48.1,7.4,11.9,.512,16.7,28.9,.336,2015
192,177,Michigan State NCAA,39,27,12,.692,17.46,10.00,12,6,12,4,7,4,2773,2482,1605,1014,2181,.465,294,763,.385,451,714,.632,436,1458,646,203,176,441,738,63.0,109.7,.327,.350,.550,53.9,63.7,8.0,12.6,.532,14.9,33.4,.207,2015
201,184,Mississippi NCAA,34,21,13,.618,11.39,7.01,11,7,9,7,8,4,2475,2326,1369,848,2003,.423,220,662,.332,559,723,.773,430,1284,450,225,128,378,668,67.0,107.9,.361,.331,.527,51.8,53.1,9.8,11.3,.478,13.9,34.8,.279,2015
220,201,New Mexico State NCAA,34,23,11,.676,3.71,-3.67,13,1,15,2,6,8,2316,2033,1370,808,1748,.462,165,450,.367,535,771,.694,428,1199,406,219,124,470,541,62.9,107.5,.441,.257,.548,54.9,50.2,10.2,9.2,.509,18.2,39.9,.306,2015
231,212,North Carolina State NCAA,36,22,14,.611,14.11,9.72,10,8,14,6,5,5,2525,2367,1450,895,2054,.436,236,661,.357,499,727,.686,435,1369,415,138,184,375,637,64.5,108.0,.354,.322,.526,52.3,46.4,5.9,13.1,.493,13.5,34.0,.243,2015
233,214,North Carolina NCAA,38,26,12,.684,20.63,11.76,11,7,10,5,7,4,2953,2616,1530,1099,2309,.476,184,514,.358,571,814,.701,526,1541,661,251,160,481,738,69.2,111.6,.353,.223,.548,55.2,60.1,9.5,11.3,.516,15.1,40.0,.247,2015
234,215,North Dakota State NCAA,33,23,10,.697,-1.72,-3.63,12,4,14,0,5,8,2141,2057,1335,743,1713,.434,230,600,.383,425,614,.692,274,1098,315,156,123,325,504,61.9,103.7,.358,.350,.534,51.3,42.4,7.6,10.7,.501,14.0,25.6,.248,2015
236,217,North Florida NCAA,35,23,12,.657,-0.82,-5.94,12,2,12,2,9,9,2651,2385,1400,897,1910,.470,317,810,.391,540,747,.723,339,1219,506,214,146,436,568,67.7,112.0,.391,.424,.585,50.7,56.4,9.0,9.9,.553,16.1,30.1,.283,2015
238,219,Northeastern NCAA,35,23,12,.657,2.03,-1.34,12,6,9,3,8,7,2397,2279,1415,838,1725,.486,203,526,.386,518,713,.727,297,1160,500,183,129,483,496,63.5,106.7,.413,.305,.581,54.2,59.7,8.1,9.3,.545,19.0,30.1,.300,2015
244,223,Northern Iowa NCAA,35,31,4,.886,12.54,2.00,16,2,16,0,9,3,2281,1912,1420,776,1618,.480,257,645,.398,472,644,.733,255,1071,413,207,84,363,508,57.4,111.9,.398,.399,.593,51.9,53.2,10.2,7.8,.559,15.9,27.0,.292,2015
248,227,Notre Dame NCAA,38,32,6,.842,19.23,7.02,14,4,17,2,7,2,2963,2499,1545,1050,2061,.509,302,775,.390,561,756,.742,313,1231,576,256,138,357,540,63.7,120.4,.367,.376,.612,49.8,54.9,10.4,9.1,.583,12.9,27.9,.272,2015
250,229,Ohio State NCAA,35,24,11,.686,19.68,7.37,11,7,18,2,4,6,2635,2204,1410,964,1995,.483,236,637,.370,471,693,.680,387,1241,534,266,178,396,563,66.0,113.2,.347,.319,.567,51.5,55.4,11.4,14.6,.542,14.6,33.5,.236,2015
252,231,Oklahoma State NCAA,32,18,14,.563,12.95,9.63,8,10,12,4,3,8,2160,2011,1290,733,1667,.440,226,647,.349,468,645,.726,287,1039,366,253,156,392,614,64.6,103.6,.387,.388,.547,48.6,49.9,12.1,13.7,.507,16.6,27.8,.281,2015
253,232,Oklahoma NCAA,35,24,11,.686,18.65,9.94,12,6,14,1,5,6,2501,2196,1410,885,2035,.435,236,688,.343,495,668,.741,389,1332,430,237,174,419,570,67.4,105.2,.328,.338,.532,51.1,48.6,10.0,12.9,.493,15.1,31.5,.243,2015
